Market,Time Zone,Open,Close,Sat Open,Sat Close,Year,Month,NDay,Day,Hour,Order Management Interactions,Order Management HT (hr),Orders,Analog,Digital,Occur Int,Occur Ord
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,3,Wednesday,08:00:00.000,244,62.901867598,80,64,16,5,5
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,3,Wednesday,09:00:00.000,277,74.801607853,88,56,32,5,5
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,3,Wednesday,10:00:00.000,295,95.39576627,93,66,27,5,5
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,3,Wednesday,11:00:00.000,386,105.23910431,87,71,16,5,5
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,3,Wednesday,12:00:00.000,303,97.866648948,100,73,27,5,5
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,3,Wednesday,13:00:00.000,329,99.323643503,68,55,13,5,5
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,3,Wednesday,14:00:00.000,268,95.734744237,91,59,32,5,5
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,3,Wednesday,15:00:00.000,177,49.696240617,46,30,16,5,5
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,3,Wednesday,16:00:00.000,98,22.144147153,30,16,14,5,5
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,3,Wednesday,17:00:00.000,,,7,0,7,,3
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,3,Wednesday,18:00:00.000,,,4,0,4,,2
SOUTH CA,,,,,,2025,10,3,Wednesday,20:00:00.000,1,0.02444444444,,,,1,
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,3,Wednesday,22:00:00.000,,,4,0,4,,1
SOUTH CA,,,,,,2025,10,3,Wednesday,23:00:00.000,1,0.02083333333,,,,1,
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,4,Thursday,04:00:00.000,1,0.01194444444,2,0,2,1,2
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,4,Thursday,05:00:00.000,76,14.062391991,13,12,1,5,5
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,4,Thursday,06:00:00.000,124,32.058295745,31,30,1,5,5
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,4,Thursday,07:00:00.000,166,44.461555484,40,32,8,5,5
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,4,Thursday,08:00:00.000,267,91.300080084,85,67,18,5,5
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,4,Thursday,09:00:00.000,300,85.126159034,104,66,38,5,5
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,4,Thursday,10:00:00.000,288,79.682534086,97,56,41,5,5
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,4,Thursday,11:00:00.000,320,96.394886094,96,61,35,5,5
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,4,Thursday,12:00:00.000,294,99.977953235,78,66,12,5,5
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,4,Thursday,13:00:00.000,321,99.585406628,72,52,20,5,5
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,4,Thursday,14:00:00.000,235,81.926963903,93,58,35,5,5
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,4,Thursday,15:00:00.000,183,50.421308607,67,50,17,5,5
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,4,Thursday,16:00:00.000,58,8.545845274,33,20,13,5,5
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,4,Thursday,17:00:00.000,1,0.05777777778,1,0,1,1,1
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,4,Thursday,18:00:00.000,,,1,0,1,,1
SOUTH CA,,,,,,2025,10,4,Thursday,19:00:00.000,1,0.09972222222,,,,1,
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,4,Thursday,20:00:00.000,1,0.035,1,0,1,1,1
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,4,Thursday,21:00:00.000,,,3,0,3,,2
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,4,Thursday,23:00:00.000,,,1,0,1,,1
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,10,5,Friday,00:00:00.000,1,0.01777777778,1,0,1,1,1
